CODE,PRODUCTO,Tiempo,TIPO_CARROCERIA,Edad_Cliente,COMBUSTIBLE,Revisiones,Potencia,TRANS,Mas_1_coche,FORMA_PAGO,km_anno,ESTADO_CIVIL,COSTE_VENTA,GENERO,QUEJA_CAC,Zona_Renta,OcupaciOn,Averia_grave,Campanna3,PROVINCIA,REV_Garantia,Campanna2,Campanna1,Grupo_Edad_Codificado
CLI3230,1,0,0,36,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,32,0,0,0,2
CLI3231,1,0,0,56,0,1,2.0,1,0,2,0,0,2662,2,0,1.0,1,4.0,1,8,0,0,1,4
CLI3232,1,0,0,55,0,0,2.0,1,0,2,0,0,3242,1,0,1.0,1,4.0,1,16,0,0,0,4
CLI3233,1,6,0,23,0,1,2.0,1,1,0,0,0,3994,1,0,1.0,1,4.0,1,13,0,0,0,1
CLI3234,1,0,0,56,0,0,2.0,1,0,2,0,0,3242,1,1,1.0,2,2.0,1,13,0,0,0,4
CLI3235,1,0,0,51,0,1,2.0,1,0,2,0,4,3242,2,0,1.0,1,4.0,1,1,0,0,0,4
CLI3236,1,0,0,30,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,52,0,0,0,1
CLI3237,1,0,0,54,0,1,2.0,1,0,0,0,4,2585,1,0,1.0,1,0.0,0,47,0,0,0,4
CLI3238,1,0,0,68,0,0,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,45,0,0,0,5
CLI3239,1,0,0,36,0,1,2.0,1,0,0,0,0,3122,1,0,1.0,1,4.0,0,32,0,0,0,2
CLI3240,1,0,0,26,0,1,2.0,1,0,2,0,4,3242,2,0,1.0,1,4.0,1,8,0,0,0,1
CLI3241,1,0,0,26,0,0,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,8,0,0,1,1
CLI3242,1,0,0,26,0,0,2.0,1,0,3,0,3,2662,1,0,1.0,1,4.0,0,41,0,0,0,1
CLI3243,1,0,0,59,0,1,2.0,1,0,3,0,0,2662,1,0,1.0,1,4.0,0,27,0,0,0,4
